ndc,fei,registrant,country,anda,nda,bla,linkage_method,api_mfr
68071-5202,3004011473,Intas Pharmaceuticals Limited,IN,ANDA-209167,,,SPL_DUNS_FEI,
63304-450,2522445,"Noramco, LLC",US,ANDA-078761,,,SPL_DUNS_FEI,TRUE
63304-450,3004132058,"Sun Pharmaceutical Industries, Inc.",US,ANDA-078761,,,SPL_DUNS_FEI,
63304-451,2522445,"Noramco, LLC",US,ANDA-078761,,,SPL_DUNS_FEI,TRUE
63304-451,3004132058,"Sun Pharmaceutical Industries, Inc.",US,ANDA-078761,,,SPL_DUNS_FEI,
63304-758,2522445,"Noramco, LLC",US,ANDA-078761,,,SPL_DUNS_FEI,TRUE
63304-758,3004132058,"Sun Pharmaceutical Industries, Inc.",US,ANDA-078761,,,SPL_DUNS_FEI,
63304-452,2522445,"Noramco, LLC",US,ANDA-078761,,,SPL_DUNS_FEI,TRUE
63304-452,3004132058,"Sun Pharmaceutical Industries, Inc.",US,ANDA-078761,,,SPL_DUNS_FEI,
63304-453,2522445,"Noramco, LLC",US,ANDA-078761,,,SPL_DUNS_FEI,TRUE
63304-453,3004132058,"Sun Pharmaceutical Industries, Inc.",US,ANDA-078761,,,SPL_DUNS_FEI,
71610-866,3005139373,Heritage Pharmaceuticals Inc. d/b/a Avet Pharmaceuticals Inc.,US,ANDA-206975,,,SPL_DUNS_FEI,
68788-7972,3004813394,Sunrise Pharmaceutical Inc,US,ANDA-205019,,,SPL_DUNS_FEI,
62135-436,1930436,"Nostrum Laboratories, Inc.",US,ANDA-074415,,,ADDRESS_MATCH,
62135-436,1930436,MPP PHARMA LLC,US,ANDA-074415,,,ADDRESS_MATCH,
71335-9658,3008252295,Rubicon Research Limited,IN,ANDA-208708,,,SPL_DUNS_FEI,
72162-1929,3012257735,"Oxford Pharmaceuticals, LLC",US,ANDA-040489,,,SPL_DUNS_FEI,
71335-0897,3005430968,Zydus Lifesciences Limited,IN,ANDA-040657,,,SPL_DUNS_FEI,
71335-0897,3002984011,Zydus Lifesciences Limited,IN,ANDA-040657,,,SPL_DUNS_FEI,
63629-2147,3002806613,"Bausch Health US, LLC",CA,,NDA017001,,SPL_DUNS_FEI,
72162-1734,1000135190,"Carlsbad Technology, Inc.",US,ANDA-075185,,,SPL_DUNS_FEI,
71475-258,3003803288,Piramal Pharma Limited,IN,,,,SPL_DUNS_FEI,
72603-340,3008307735,Hetero Labs Limited,IN,ANDA-203835,,,SPL_DUNS_FEI,
72603-341,3008307735,Hetero Labs Limited,IN,ANDA-203835,,,SPL_DUNS_FEI,
72603-342,3008307735,Hetero Labs Limited,IN,ANDA-203835,,,SPL_DUNS_FEI,
0121-0773,1017687,"PAI Holdings, LLC",US,ANDA-078465,,,SPL_DUNS_FEI,
70069-241,3003821988,Somerset Therapeutics Private Limited,IN,ANDA-210640,,,SPL_DUNS_FEI,
70069-251,3003821988,Somerset Therapeutics Private Limited,IN,ANDA-210640,,,SPL_DUNS_FEI,
70518-4356,3004819820,LUPIN LIMITED,IN,ANDA-065398,,,SPL_DUNS_FEI,
0486-1125,3017140477,"LGM Pharma Solutions, LLC",US,,,,SPL_DUNS_FEI,
50090-5354,3004995645,LUPIN LIMITED,IN,ANDA-078043,,,SPL_DUNS_FEI,
71335-0244,1819171,"Lannett Company, Inc.",US,ANDA-090678,,,ADDRESS_MATCH,
50742-371,3006346108,Novast Laboratories Ltd.,CN,ANDA-218410,,,SPL_DUNS_FEI,
25021-252,3009056604,GLAND PHARMA LIMITED,IN,ANDA-216648,,,ADDRESS_MATCH,
71205-313,3010228235,"Torrent Pharma, Inc.",IN,ANDA-090939,,,SPL_DUNS_FEI,
71205-313,3013791804,VKT Pharma Private Limited,IN,ANDA-090939,,,SPL_DUNS_FEI,
71205-313,3005029956,"Torrent Pharma, Inc.",IN,ANDA-090939,,,SPL_DUNS_FEI,
68788-8528,3004097901,Granules India Ltd,IN,ANDA-090564,,,SPL_DUNS_FEI,
68788-8739,3004082076,"Unichem Laboratories Limited, India",IN,ANDA-213136,,,ADDRESS_MATCH,
69315-322,3005035920,CAPLIN STERILES LIMITED,IN,ANDA-218204,,,SPL_DUNS_FEI,
69539-112,3011033544,MSN LABORATORIES PRIVATE LIMITED,IN,ANDA-212580,,,SPL_DUNS_FEI,
72162-1428,3001904238,Padagis Israel Pharmaceuticals Ltd,IL,ANDA-200174,,,ADDRESS_MATCH,
68788-7009,3002808376,Apotex Inc.,CA,ANDA-076341,,,SPL_DUNS_FEI,
60760-508,3002808385,"Taro Pharmaceuticals U.S.A., Inc.",IL,ANDA-075520,,,SPL_DUNS_FEI,
60760-704,3004540907,Bionpharma Inc.,IN,ANDA-216759,,,SPL_DUNS_FEI,
60760-704,3013914542,OPTIMUS PHARMA PRIVATE LIMITED,IN,ANDA-216759,,,SPL_DUNS_FEI,
76045-108,3008887707,"Fresenius Kabi USA, LLC",US,ANDA-206552,,,SPL_DUNS_FEI,
43063-935,3002806294,ALKALOIDA Vegyeszeti Gyar zartkoruen mukodo Reszvenytarsasag,HU,ANDA-071450,,,SPL_DUNS_FEI,
43063-935,2523348,"Frontida BioPharm, LLC",US,ANDA-071450,,,SPL_DUNS_FEI,
14335-171,3005115952,"Hainan Poly Pharm. Co., Ltd.",CN,ANDA-216131,,,SPL_DUNS_FEI,
14335-172,3005115952,"Hainan Poly Pharm. Co., Ltd.",CN,ANDA-216131,,,SPL_DUNS_FEI,
76420-575,3011255967,APL HEALTHCARE LIMITED,IN,ANDA-213794,,,SPL_DUNS_FEI,
76420-576,3011255967,APL HEALTHCARE LIMITED,IN,ANDA-213794,,,SPL_DUNS_FEI,
76420-577,3011255967,APL HEALTHCARE LIMITED,IN,ANDA-213794,,,SPL_DUNS_FEI,
68462-301,3004672766,"Glenmark Pharmaceuticals Inc., USA",IN,ANDA-208108,,,SPL_DUNS_FEI,
68788-7169,3007517881,Macleods Pharmaceuticals Limited,IN,ANDA-202929,,,SPL_DUNS_FEI,
68071-3850,3008307735,Hetero Labs Limited,IN,ANDA-205064,,,SPL_DUNS_FEI,
24689-140,3016579947,Apnar Pharma Private Limited,IN,ANDA-077491,,,SPL_DUNS_FEI,
24689-141,3016579947,Apnar Pharma Private Limited,IN,ANDA-077491,,,SPL_DUNS_FEI,
24689-142,3016579947,Apnar Pharma Private Limited,IN,ANDA-077491,,,SPL_DUNS_FEI,
24689-143,3016579947,Apnar Pharma Private Limited,IN,ANDA-077491,,,SPL_DUNS_FEI,
71205-696,3008298016,"ScieGen Pharmaceuticals, INC.",US,ANDA-208677,,,SPL_DUNS_FEI,
42291-036,3005263655,"Amneal Pharmaceuticals of New York, LLC",US,ANDA-202830,,,ADDRESS_MATCH,
42291-037,3005263655,"Amneal Pharmaceuticals of New York, LLC",US,ANDA-202830,,,ADDRESS_MATCH,
42291-038,3005263655,"Amneal Pharmaceuticals of New York, LLC",US,ANDA-202830,,,ADDRESS_MATCH,
42291-039,3005263655,"Amneal Pharmaceuticals of New York, LLC",US,ANDA-202830,,,ADDRESS_MATCH,
42291-040,3005263655,"Amneal Pharmaceuticals of New York, LLC",US,ANDA-202830,,,ADDRESS_MATCH,
42291-041,3005263655,"Amneal Pharmaceuticals of New York, LLC",US,ANDA-202830,,,ADDRESS_MATCH,
62207-491,3004097901,Granules India Ltd,IN,ANDA-209313,,,SPL_DUNS_FEI,
62207-492,3004097901,Granules India Ltd,IN,ANDA-209313,,,SPL_DUNS_FEI,
50268-717,3008223599,"Amneal Pharmaceuticals of New York, LLC",IN,ANDA-202025,,,SPL_DUNS_FEI,
71205-666,3009083745,Mankind Pharma Limited,IN,ANDA-213864,,,SPL_DUNS_FEI,
67296-1576,3001451366,Patheon Manufacturing Services LLC,US,ANDA-081297,,,SPL_DUNS_FEI,
72789-370,3007373532,Aurobindo Pharma Limited,IN,ANDA-202759,,,SPL_DUNS_FEI,
68071-1830,3010228235,"Torrent Pharma, Inc.",IN,ANDA-078216,,,SPL_DUNS_FEI,
68071-1830,3005259207,Piramal Pharma Limited,IN,ANDA-078216,,,SPL_DUNS_FEI,
68071-1830,3005029956,"Torrent Pharma, Inc.",IN,ANDA-078216,,,SPL_DUNS_FEI,
50090-5987,3025372239,Zhejiang Huahai Pharmaceutical Technology Co Ltd,CN,ANDA-203854,,,SPL_DUNS_FEI,
50090-5987,3003999190,"Zhejiang Huahai Pharmaceutical Co., Ltd.",CN,ANDA-203854,,,SPL_DUNS_FEI,
57237-036,3004021263,Aurobindo Pharma Limited,IN,ANDA-065340,,,SPL_DUNS_FEI,
57237-037,3004021263,Aurobindo Pharma Limited,IN,ANDA-065340,,,SPL_DUNS_FEI,
62332-690,3015685305,Alembic Pharmaceuticals Limited,IN,ANDA-215810,,,SPL_DUNS_FEI,
0404-9801,2220525,Hikma Pharmaceuticals USA Inc.,US,ANDA-075243,,,SPL_DUNS_FEI,
42858-094,3002808845,Rommelag CDMO GmbH,DE,ANDA-215621,,,SPL_DUNS_FEI,
72865-255,3009518416,Ascent Pharmaceuticals Inc,US,ANDA-214957,,,SPL_DUNS_FEI,
72865-256,3009518416,Ascent Pharmaceuticals Inc,US,ANDA-214957,,,SPL_DUNS_FEI,
25021-471,3011860409,"Chia Tai Tianqing Pharmaceutical Group Co., Ltd.",CN,ANDA-211422,,,ADDRESS_MATCH,
43598-291,3009193040,Dr. Reddy's Laboratories Limited,IN,ANDA-209664,,,SPL_DUNS_FEI,
43598-292,3009193040,Dr. Reddy's Laboratories Limited,IN,ANDA-209664,,,SPL_DUNS_FEI,
43598-293,3009193040,Dr. Reddy's Laboratories Limited,IN,ANDA-209664,,,SPL_DUNS_FEI,
43598-294,3009193040,Dr. Reddy's Laboratories Limited,IN,ANDA-209664,,,SPL_DUNS_FEI,
43598-295,3009193040,Dr. Reddy's Laboratories Limited,IN,ANDA-209664,,,SPL_DUNS_FEI,
43598-296,3009193040,Dr. Reddy's Laboratories Limited,IN,ANDA-209664,,,SPL_DUNS_FEI,
43598-297,3009193040,Dr. Reddy's Laboratories Limited,IN,ANDA-209664,,,SPL_DUNS_FEI,
43598-298,3009193040,Dr. Reddy's Laboratories Limited,IN,ANDA-209664,,,SPL_DUNS_FEI,
68071-3881,3002721084,Teva Pharmaceutical Industries Ltd.,IL,ANDA-075022,,,ADDRESS_MATCH,
80425-0363,3008252295,Rubicon Research Limited,IN,ANDA-204237,,,SPL_DUNS_FEI,
65145-155,3005035920,CAPLIN STERILES LIMITED,IN,ANDA-218674,,,SPL_DUNS_FEI,
65145-156,3005035920,CAPLIN STERILES LIMITED,IN,ANDA-218674,,,SPL_DUNS_FEI,
63629-9192,3013354357,The ACME Laboratories Ltd.,BD,ANDA-201170,,,SPL_DUNS_FEI,
55065-004,1221577,Ivey Industries Inc.,US,,,,SPL_DUNS_FEI,
60760-005,3004011473,Intas Pharmaceuticals Limited,IN,ANDA-078155,,,SPL_DUNS_FEI,
60760-005,3003157498,Intas Pharmaceuticals Limited,IN,ANDA-078155,,,SPL_DUNS_FEI,
60760-006,3003157498,Intas Pharmaceuticals Limited,IN,ANDA-078155,,,SPL_DUNS_FEI,
60760-006,3004011473,Intas Pharmaceuticals Limited,IN,ANDA-078155,,,SPL_DUNS_FEI,
60760-019,3004011473,Intas Pharmaceuticals Limited,IN,ANDA-078155,,,SPL_DUNS_FEI,
60760-019,3003157498,Intas Pharmaceuticals Limited,IN,ANDA-078155,,,SPL_DUNS_FEI,
55154-7634,3005029956,"Torrent Pharma, Inc.",IN,ANDA-090074,,,ADDRESS_MATCH,
55154-7634,3010228235,"Torrent Pharma, Inc.",IN,ANDA-090074,,,ADDRESS_MATCH,
80425-0507,3012932394,Graviti Pharmaceuticals Private Limited,IN,ANDA-213126,,,SPL_DUNS_FEI,
50090-6959,3008654992,Pharmadax Inc.,CN,ANDA-203699,,,SPL_DUNS_FEI,
60760-515,3010228235,"Torrent Pharma, Inc.",IN,ANDA-077903,,,SPL_DUNS_FEI,
60760-515,3005259207,Piramal Pharma Limited,IN,ANDA-077903,,,SPL_DUNS_FEI,
60760-515,3005029956,"Torrent Pharma, Inc.",IN,ANDA-077903,,,SPL_DUNS_FEI,
65875-101,3003217321,Bray Group Limited,GB,,,,SPL_DUNS_FEI,
50090-2127,1000113778,Bausch & Lomb Incorporated,US,ANDA-064052,,,SPL_DUNS_FEI,
80425-0123,3010661577,"Amneal Pharmaceuticals of New York, LLC",IN,ANDA-209743,,,SPL_DUNS_FEI,
71205-617,3005406526,Hetero Labs Limited,IN,ANDA-209438,,,SPL_DUNS_FEI,
68071-3299,3004446312,Aurobindo Pharma Limited,IN,ANDA-065435,,,SPL_DUNS_FEI,
67296-1523,3013791804,VKT Pharma Private Limited,IN,ANDA-215630,,,SPL_DUNS_FEI,
71357-001,3008409127,S.M. FARMACEUTICI SRL,IT,ANDA-213116,,,SPL_DUNS_FEI,
70518-4186,3002807989,Recordati Industria Chimica E Farmaceutica SpA In Breve Recordati SpA,IT,ANDA-074891,,,SPL_DUNS_FEI,TRUE
70518-4186,3005139373,Heritage Pharmaceuticals Inc. d/b/a Avet Pharmaceuticals Inc.,US,ANDA-074891,,,SPL_DUNS_FEI,
60687-560,3004021229,Aurobindo Pharma Limited,IN,ANDA-203820,,,SPL_DUNS_FEI,
72789-445,2000021110,"CSPC Ouyi Pharmaceutical Co., Ltd.",CN,ANDA-208249,,,SPL_DUNS_FEI,
55700-944,3006785788,Ajanta Pharma Limited,IN,ANDA-204041,,,SPL_DUNS_FEI,
70121-1754,3014360923,Universal Farma SL,ES,,,BLA761231,SPL_DUNS_FEI,
70121-1755,3014360923,Universal Farma SL,ES,,,BLA761231,SPL_DUNS_FEI,
72664-218,3008243902,AIZANT DRUG RESEARCH SOLUTIONS PVT LTD,IN,ANDA-214328,,,SPL_DUNS_FEI,
71335-2372,3010661577,"Amneal Pharmaceuticals of New York, LLC",IN,ANDA-071972,,,SPL_DUNS_FEI,
72189-263,3003157498,Intas Pharmaceuticals Limited,IN,ANDA-202556,,,SPL_DUNS_FEI,
72189-263,3004011473,Intas Pharmaceuticals Limited,IN,ANDA-202556,,,SPL_DUNS_FEI,
67046-1531,3004956904,Alembic Pharmaceuticals Limited,IN,ANDA-214284,,,SPL_DUNS_FEI,
0904-6553,3006370524,Alkem Laboratories Limited,IN,ANDA-205517,,,SPL_DUNS_FEI,
60492-0173,3003153579,Emergent BioSolutions Inc.,CA,,,BLA125109,SPL_DUNS_FEI,
70518-3849,3011895410,Aurobindo Pharma Limited,IN,ANDA-075150,,,SPL_DUNS_FEI,
71335-1907,3013630102,Centaur Pharmaceuticals Private Limited,IN,ANDA-207507,,,SPL_DUNS_FEI,
71335-1907,3008861619,Centaur Pharmaceuticals Private Limited,IN,ANDA-207507,,,SPL_DUNS_FEI,
65841-097,3005430968,Zydus Lifesciences Limited,IN,ANDA-077584,,,SPL_DUNS_FEI,
65841-097,3002984011,Zydus Lifesciences Limited,IN,ANDA-077584,,,SPL_DUNS_FEI,
65841-098,3005430968,Zydus Lifesciences Limited,IN,ANDA-077584,,,SPL_DUNS_FEI,
65841-098,3002984011,Zydus Lifesciences Limited,IN,ANDA-077584,,,SPL_DUNS_FEI,
65841-099,3005430968,Zydus Lifesciences Limited,IN,ANDA-077584,,,SPL_DUNS_FEI,
65841-099,3002984011,Zydus Lifesciences Limited,IN,ANDA-077584,,,SPL_DUNS_FEI,
65841-601,3005430968,Zydus Lifesciences Limited,IN,ANDA-077584,,,SPL_DUNS_FEI,
65841-601,3002984011,Zydus Lifesciences Limited,IN,ANDA-077584,,,SPL_DUNS_FEI,
70518-4176,2016148,"International Medication Systems, Ltd.",US,ANDA-083173,,,SPL_DUNS_FEI,
33342-384,3006363714,Macleods Pharmaceuticals Limited,IN,ANDA-211166,,,SPL_DUNS_FEI,
33342-385,3006363714,Macleods Pharmaceuticals Limited,IN,ANDA-211166,,,SPL_DUNS_FEI,
43547-545,3003999190,"Zhejiang Huahai Pharmaceutical Co., Ltd.",CN,ANDA-213273,,,SPL_DUNS_FEI,
43547-546,3003999190,"Zhejiang Huahai Pharmaceutical Co., Ltd.",CN,ANDA-213273,,,SPL_DUNS_FEI,
43547-547,3003999190,"Zhejiang Huahai Pharmaceutical Co., Ltd.",CN,ANDA-213273,,,SPL_DUNS_FEI,
43547-548,3003999190,"Zhejiang Huahai Pharmaceutical Co., Ltd.",CN,ANDA-213273,,,SPL_DUNS_FEI,
70954-201,3012541241,Novitium Pharma LLC,US,ANDA-215307,,,SPL_DUNS_FEI,
70954-202,3012541241,Novitium Pharma LLC,US,ANDA-215307,,,SPL_DUNS_FEI,
70954-200,3012541241,Novitium Pharma LLC,US,ANDA-215307,,,SPL_DUNS_FEI,
51655-766,3004011473,Intas Pharmaceuticals Limited,IN,ANDA-202389,,,SPL_DUNS_FEI,
51655-766,3003157498,Intas Pharmaceuticals Limited,IN,ANDA-202389,,,SPL_DUNS_FEI,
50090-4275,3006370533,Alkem Laboratories Limited,IN,ANDA-091249,,,SPL_DUNS_FEI,
72865-272,3009518416,Ascent Pharmaceuticals Inc,US,ANDA-207961,,,SPL_DUNS_FEI,
72865-273,3009518416,Ascent Pharmaceuticals Inc,US,ANDA-207961,,,SPL_DUNS_FEI,
62135-541,3011640199,Yiling Pharmaceutical Ltd,CN,ANDA-211248,,,ADDRESS_MATCH,
62135-542,3011640199,Yiling Pharmaceutical Ltd,CN,ANDA-211248,,,ADDRESS_MATCH,
62135-543,3011640199,Yiling Pharmaceutical Ltd,CN,ANDA-211248,,,ADDRESS_MATCH,
62135-544,3011640199,Yiling Pharmaceutical Ltd,CN,ANDA-211248,,,ADDRESS_MATCH,
72789-246,3005674517,Bora Pharmaceutical Laboratories Inc.,TW,ANDA-214289,,,SPL_DUNS_FEI,
72789-247,3005674517,Bora Pharmaceutical Laboratories Inc.,TW,ANDA-214289,,,SPL_DUNS_FEI,
68071-3592,3012664809,Ajanta Pharma Limited,IN,ANDA-206401,,,SPL_DUNS_FEI,
68071-3592,3006785788,Ajanta Pharma Limited,IN,ANDA-206401,,,SPL_DUNS_FEI,
0009-0271,1810189,Pfizer Inc,US,ANDA-085470,,,SPL_DUNS_FEI,
27241-108,3006785788,Ajanta Pharma Limited,IN,ANDA-209686,,,SPL_DUNS_FEI,
71335-2449,3004097901,Granules India Ltd,IN,ANDA-217427,,,SPL_DUNS_FEI,
55111-143,3002949099,Dr. Reddy's Laboratories Limited,IN,ANDA-076658,,,SPL_DUNS_FEI,
55111-144,3002949099,Dr. Reddy's Laboratories Limited,IN,ANDA-076658,,,SPL_DUNS_FEI,
55111-145,3002949099,Dr. Reddy's Laboratories Limited,IN,ANDA-076658,,,SPL_DUNS_FEI,
55111-146,3002949099,Dr. Reddy's Laboratories Limited,IN,ANDA-076658,,,SPL_DUNS_FEI,
33342-448,3010868532,OXALIS LABS,IN,ANDA-212545,,,SPL_DUNS_FEI,
33342-449,3010868532,OXALIS LABS,IN,ANDA-212545,,,SPL_DUNS_FEI,
33342-450,3010868532,OXALIS LABS,IN,ANDA-212545,,,SPL_DUNS_FEI,
33342-451,3010868532,OXALIS LABS,IN,ANDA-212545,,,SPL_DUNS_FEI,
70954-492,3012541241,Novitium Pharma LLC,US,ANDA-216384,,,SPL_DUNS_FEI,
68071-2995,3004082076,"Unichem Laboratories Limited, India",IN,ANDA-210907,,,ADDRESS_MATCH,
68071-2995,3005497507,"Unichem Laboratories Limited, India",IN,ANDA-210907,,,ADDRESS_MATCH,
64980-104,0002246963,"Ingenus Pharmaceuticals NJ, LLC",US,,,,SPL_DUNS_FEI,
72162-2018,1050658,"Mikart, LLC",US,ANDA-040646,,,SPL_DUNS_FEI,
72162-2018,3008223599,"Amneal Pharmaceuticals of New York, LLC",IN,ANDA-040646,,,SPL_DUNS_FEI,
63629-1205,1038197,Prinston Pharmaceutical Inc.,US,ANDA-077856,,,SPL_DUNS_FEI,
62332-691,3004956904,Alembic Pharmaceuticals Limited,IN,ANDA-217268,,,SPL_DUNS_FEI,
62332-692,3004956904,Alembic Pharmaceuticals Limited,IN,ANDA-217268,,,SPL_DUNS_FEI,
62332-693,3004956904,Alembic Pharmaceuticals Limited,IN,ANDA-217268,,,SPL_DUNS_FEI,
43063-762,3003157498,Intas Pharmaceuticals Limited,IN,ANDA-202717,,,SPL_DUNS_FEI,
43063-762,3004011473,Intas Pharmaceuticals Limited,IN,ANDA-202717,,,SPL_DUNS_FEI,
70518-3891,3008252295,Rubicon Research Limited,IN,ANDA-075468,,,SPL_DUNS_FEI,
80425-0007,3008307735,Hetero Labs Limited,IN,ANDA-202801,,,SPL_DUNS_FEI,
50090-7405,3002916530,"ANI Pharmaceuticals, Inc.",CA,ANDA-074497,,,ADDRESS_MATCH,
62332-518,3015685305,Alembic Pharmaceuticals Limited,IN,ANDA-211847,,,SPL_DUNS_FEI,
62332-518,3002647489,GLAND PHARMA LIMITED,IN,ANDA-211847,,,SPL_DUNS_FEI,
52817-840,3003197096,"TriRx Huntsville Pharmaceutical Services, LLC",US,ANDA-213549,,,SPL_DUNS_FEI,
85509-1159,3002806702,CIPLA LIMITED,IN,ANDA-077929,,,ADDRESS_MATCH,
46708-402,3004956904,Alembic Pharmaceuticals Limited,IN,ANDA-211763,,,SPL_DUNS_FEI,
46708-403,3004956904,Alembic Pharmaceuticals Limited,IN,ANDA-211763,,,SPL_DUNS_FEI,
46708-404,3004956904,Alembic Pharmaceuticals Limited,IN,ANDA-211763,,,SPL_DUNS_FEI,
67296-2043,3005497507,"Unichem Laboratories Limited, India",IN,ANDA-040907,,,ADDRESS_MATCH,
72189-283,3008252295,Rubicon Research Limited,IN,ANDA-208170,,,SPL_DUNS_FEI,
70518-3793,3008252295,Rubicon Research Limited,IN,ANDA-200981,,,ADDRESS_MATCH,
0245-0835,3007184570,Bora Pharmaceutical Laboratories Inc.,TW,ANDA-218979,,,SPL_DUNS_FEI,
0245-0836,3007184570,Bora Pharmaceutical Laboratories Inc.,TW,ANDA-218979,,,SPL_DUNS_FEI,
71335-1732,3002984011,Zydus Lifesciences Limited,IN,ANDA-090961,,,SPL_DUNS_FEI,
68001-231,3003194604,"Actavis Laboratories FL, Inc.",US,ANDA-201089,,,SPL_DUNS_FEI,
68001-232,3003194604,"Actavis Laboratories FL, Inc.",US,ANDA-201089,,,SPL_DUNS_FEI,
76420-210,3008298016,"ScieGen Pharmaceuticals, INC.",US,ANDA-078420,,,SPL_DUNS_FEI,
50090-6735,3006370524,Alkem Laboratories Limited,IN,ANDA-206465,,,SPL_DUNS_FEI,
72162-2144,1510690,West-Ward Columbus Inc.,US,ANDA-076598,,,SPL_DUNS_FEI,
72162-2144,1510690,Hikma Pharmaceuticals USA Inc.,US,ANDA-076598,,,SPL_DUNS_FEI,
67046-1520,3005139373,Heritage Pharmaceuticals Inc. d/b/a Avet Pharmaceuticals Inc.,US,ANDA-040858,,,SPL_DUNS_FEI,
72603-278,3013944676,Annora Pharma Private Limited,IN,ANDA-212903,,,SPL_DUNS_FEI,
82868-015,3009083745,Mankind Pharma Limited,IN,ANDA-217272,,,SPL_DUNS_FEI,
68788-8583,3002808384,"Taro Pharmaceuticals U.S.A., Inc.",CA,ANDA-088799,,,ADDRESS_MATCH,
43598-121,3002949099,Dr. Reddy's Laboratories Limited,IN,ANDA-091023,,,SPL_DUNS_FEI,
43598-122,3002949099,Dr. Reddy's Laboratories Limited,IN,ANDA-091023,,,SPL_DUNS_FEI,
70069-501,3003821988,Somerset Therapeutics Private Limited,IN,ANDA-215004,,,SPL_DUNS_FEI,
68001-407,3002806860,Xellia Pharmaceuticals ApS,DK,ANDA-204125,,,SPL_DUNS_FEI,
68001-406,3002806860,Xellia Pharmaceuticals ApS,DK,ANDA-204125,,,SPL_DUNS_FEI,
71335-1243,3002808376,Apotex Inc.,CA,ANDA-076341,,,SPL_DUNS_FEI,
70518-3851,3011585184,Granules Pharmaceuticals Inc.,US,ANDA-210425,,,SPL_DUNS_FEI,
72189-567,3008252295,Rubicon Research Limited,IN,ANDA-204028,,,SPL_DUNS_FEI,
71205-627,3010868532,OXALIS LABS,IN,ANDA-209535,,,SPL_DUNS_FEI,
71205-003,3004956904,Alembic Pharmaceuticals Limited,IN,ANDA-202871,,,SPL_DUNS_FEI,
71205-003,3016088083,Alembic Pharmaceuticals Limited,IN,ANDA-202871,,,SPL_DUNS_FEI,
64380-768,3004554612,Strides Pharma Science Limited,IN,ANDA-204559,,,SPL_DUNS_FEI,
64380-769,3004554612,Strides Pharma Science Limited,IN,ANDA-204559,,,SPL_DUNS_FEI,
64380-770,3004554612,Strides Pharma Science Limited,IN,ANDA-204559,,,SPL_DUNS_FEI,
13107-259,2522445,"Noramco, LLC",US,ANDA-211639,,,SPL_DUNS_FEI,TRUE
13107-259,3005796917,Aurolife Pharma LLC,US,ANDA-211639,,,SPL_DUNS_FEI,
13107-260,2522445,"Noramco, LLC",US,ANDA-211639,,,SPL_DUNS_FEI,TRUE
13107-260,3005796917,Aurolife Pharma LLC,US,ANDA-211639,,,SPL_DUNS_FEI,
51662-1456,3008316085,"Hospira, Inc.",IN,ANDA-070583,,,SPL_DUNS_FEI,
